season,average_points
2008-09,202.21779141104295
2009-10,202.66441717791412
2010-11,201.3791411042945
2011-12,196.11510791366908
2012-13,197.8987108655617
2013-14,206.3214501510574
2014-15,205.0755502676978
2015-16,207.65454545454546
2016-17,213.31516853932584
2017-18,214.91170212765957
2018-19,222.1228346456693
2019-20,224.82789855072463
2020-21,223.5679012345679
2021-22,222.1883886255924
2022-23,229.47134502923976
2023-24,227.71599317017643
